,gseID,journal,pubmed_id,title
1076,notAvailable,Nature communications,30468158,
1077,GSE120634_GSE117872,Nature communications,30467425,
1078,GSE81585,Nature communications,30464173,
1079,notAvailable,Science translational medicine,30463919,
1080,notAvailable,Immunity,30462994,
1081,notAvailable,Nature communications,30451828,
1082,notAvailable,Neuron,30449656,
1083,notAvailable,Nature genetics,30420650,
1084,notAvailable,Cell systems,30414924,
1085,notAvailable,Nature communications,30413688,
1086,GSE119562,Immunity,30413361,
1087,GSE115356_GSE115350_GSE115346_GSE115316,eLife,30412053,
1088,GSE115257,eLife,30412052,
1089,notAvailable,Nature,30405240,
1090,notAvailable,Nature communications,30405130,
1091,notAvailable,Nature communications,30405112,
1092,notAvailable,Nature communications,30389932,
1093,GSE120909,Science immunology,30389797,
1094,GSE120575,Cell,30388456,
1095,GSE115746,Nature,30382198,
1096,notAvailable,Nature communications,30382095,
1097,notAvailable,Nature communications,30361563,
1098,notAvailable,Nature,30356220,
1099,GSE115469,Nature communications,30348985,
1100,GSE119352,Cell,30343900,
1101,notAvailable,Cell systems,30342881,
1102,GSE121026_GSE120515_GSE119071_GSE118938_GSE118917_GSE118902_GSE118764_GSE118763_GSE100896_GSE100895,Nature,30333624,
1103,notAvailable,Science translational medicine,30333237,
1104,notAvailable,Immunity,30332628,
1105,notAvailable,eLife,30324906,
1106,notAvailable,Nature methods,30323353,
1107,notAvailable,Nature communications,30323168,
1108,GSE116505_GSE116246,eLife,30299256,
1109,notAvailable,Cell systems,30292705,
1110,GSE132042_GSE132040_GSE109774,Nature,30283141,
1111,notAvailable,Cell,30270040,
1112,GSE112436,Neuron,30269986,
1113,GSE106269,"Science (New York, N.Y.)",30262634,
1114,GSE116633_GSE115950_GSE106882_GSE106636_GSE79435,Nature communications,30254319,
1115,GSE101099,Nature communications,30254276,
1116,GSE106237_GSE106236_GSE106235,Nature,30250253,
1117,GSE118056_GSE117988,Nature communications,30250229,
1118,notAvailable,Cell,30245008,
1119,notAvailable,Nature communications,30218080,
1120,notAvailable,Nature communications,30213942,
1121,GSE111839,eLife,30188322,
1122,GSE106487,Cell stem cell,30174296,
1123,notAvailable,Nature methods,30171231,
1124,GSE117876_GSE117874_GSE117109,"Science (New York, N.Y.)",30166492,
1125,notAvailable,Nature,30135581,
1126,GSE109984,Nature communications,30135429,
1127,notAvailable,eLife,30124429,
1128,GSE115795,Nature immunology,30104629,
1129,notAvailable,Cell,30096308,
1130,notAvailable,Nature medicine,30093729,
1131,GSE114997,Cell,30078709,
1132,notAvailable,Immunity,30076101,
1133,notAvailable,"Science (New York, N.Y.)",30072512,
1134,notAvailable,Nature,30069053,
1135,notAvailable,Cell systems,30056004,
1136,GSE103568,Nature communications,30050112,
1137,GSE109210_GSE94957,Nature,30046113,
1138,notAvailable,Nature communications,30042420,
1139,notAvailable,Nature genetics,30038397,
1140,notAvailable,Cell,30033361,
1141,notAvailable,Neuron,30033152,
1142,GSE112880_GSE107256_GSE107124_GSE94647,Nature communications,30026551,
1143,notAvailable,Nature cell biology,30022120,
1144,GSE116237,Cell,30017245,
1145,notAvailable,Nature medicine,29988129,
1146,GSE114670,Nature communications,29968757,
1147,GSE114397,Cell,29961576,
1148,notAvailable,Nature communications,29950599,
1149,notAvailable,Nature communications,29946144,
1150,notAvailable,Cell systems,29936183,
1151,notAvailable,Nature communications,29934631,
1152,notAvailable,"Science (New York, N.Y.)",29930089,
1153,notAvailable,Cell systems,29909278,
1154,GSE107875_GSE107874_GSE107873,Cell,29906446,
1155,GSE113968_GSE113811_GSE113807_GSE113689_GSE113280_GSE113262_GSE113221_GSE113216_GSE113208,Nature,29899446,
1156,GSE110684,Science immunology,29858286,
1157,GSE95723,Cell,29856957,
1158,GSE103239_GSE103154_GSE95630,Nature cell biology,29802404,
1159,notAvailable,Nature cell biology,29802403,
1160,GSE113198_GSE113197_GSE113196_GSE113127_GSE113099,Nature communications,29795293,
1161,notAvailable,Cell systems,29792823,
1162,notAvailable,Nature,29789748,
1163,notAvailable,Nature methods,29786092,
1164,GSE79280,Nature communications,29760424,
1165,GSE112903,Immunity,29752062,
1166,GSE99786,Nature,29720634,
1167,GSE96811_GSE96772_GSE96771_GSE96769,Cell,29706549,
1168,GSE102090_GSE100856_GSE98448_GSE98443_GSE98440_GSE98245,Molecular cell,29706538,
1169,notAvailable,eLife,29697371,
1170,GSE104490,Nature medicine,29686423,
1171,GSE103840,Nature neuroscience,29686262,
1172,GSE111598,Cell stem cell,29656943,
1173,notAvailable,Nature,29643510,
1174,GSE107585,"Science (New York, N.Y.)",29622724,
1175,notAvailable,eLife,29620527,
1176,notAvailable,Nature genetics,29610479,
1177,notAvailable,Cell systems,29605184,
1178,notAvailable,Cell systems,29596778,
1179,GSE102990,Nature,29590089,
1180,notAvailable,eLife,29580379,
1181,notAvailable,Nature communications,29549237,
1182,GSE110823,"Science (New York, N.Y.)",29545511,
1183,GSE104276,Nature,29539641,
1184,notAvailable,Nature methods,29529018,
1185,notAvailable,Nature communications,29520097,
1186,notAvailable,Nature neuroscience,29507414,
1187,notAvailable,Cell,29502970,
1188,notAvailable,Cell systems,29494801,
1189,notAvailable,Nature communications,29483513,
1190,GSE107229_GSE104470_GSE104469_GSE104467_GSE104466_GSE104378,Nature methods,29481550,
1191,notAvailable,Nature methods,29481549,
1192,notAvailable,"Science (New York, N.Y.)",29472486,
1193,notAvailable,Nature communications,29426856,
1194,notAvailable,Immunity,29426702,
1195,GSE108790_GSE108788_GSE108775,Neuron,29398364,
1196,notAvailable,Nature biomedical engineering,31015626,
1197,notAvailable,Nature,29364869,
1198,notAvailable,Nature communications,29358710,
1199,GSE106544_GSE106543_GSE106542_GSE106541_GSE106540,Science immunology,29352091,
1200,GSE104323_GSE95753_GSE95752_GSE95315,Nature neuroscience,29335606,
1201,notAvailable,Nature communications,29335514,
1202,notAvailable,eLife,29331015,
1203,notAvailable,Cell,29328909,
1204,GSE106268_GSE106267_GSE106265_GSE106264_GSE105163,"Science (New York, N.Y.)",29326266,
1205,GSE90742,Nature,29323290,
1206,notAvailable,Nature cell biology,29311656,
1207,notAvailable,Nature medicine,29309059,
1208,notAvailable,Cell,29307488,
1209,notAvailable,Cell systems,29289569,
1210,GSE81233,Nature genetics,29255258,
1211,notAvailable,eLife,29231811,
1212,notAvailable,eLife,29231170,
1213,notAvailable,eLife,29231168,
1214,notAvailable,Cell systems,29203279,
1215,GSE108230_GSE108221_GSE108199,eLife,29199959,
1216,notAvailable,eLife,29199953,
1217,GSE97037,Cancer cell,29198913,
1218,GSE85234,Nature communications,29187729,
1219,notAvailable,Nature communications,29184067,
1220,notAvailable,Nature communications,29170529,
1221,GSE104961,Nature communications,29170434,
1222,GSE100618,Nature immunology,29167569,
1223,notAvailable,Nature communications,29158515,
1224,GSE103275_GSE103272_GSE98131_GSE95448_GSE95445_GSE95436_GSE95434_GSE95432_GSE95430,Nature communications,29158510,
1225,GSE102698,Cell systems,29153838,
1226,GSE100058,Cell,29149607,
1227,notAvailable,eLife,29148972,
1228,GSE92332,Nature,29144463,
1229,notAvailable,Nature communications,29142298,
1230,GSE93722,eLife,29130882,
1231,notAvailable,Nature,29120418,
1232,GSE99466,Nature methods,28991892,
1233,notAvailable,Nature,28976954,
1234,GSE81547,Cell,28965763,
1235,notAvailable,Nature biomedical engineering,31015588,
1236,GSE85755,Nature methods,28960196,
1237,notAvailable,Cell systems,28957652,
1238,notAvailable,Nature communications,28951585,
1239,notAvailable,Cell systems,28941584,
1240,notAvailable,Nature communications,28939870,
1241,GSE66343,Molecular cell,28938092,
1242,GSE101487,"Science (New York, N.Y.)",28912243,
1243,GSE94054,Neuron,28910620,
1244,GSE102299,Nature,28902842,
1245,notAvailable,Nature communications,28883466,
1246,notAvailable,Nature communications,28878273,
1247,notAvailable,Nature neuroscience,28846081,
1248,notAvailable,Cell systems,28837813,
1249,notAvailable,Nature communications,28827596,
1250,GSE99172,Nature methods,28825706,
1251,GSE98561,"Science (New York, N.Y.)",28818938,
1252,notAvailable,Nature communications,28805202,
1253,notAvailable,Nature communications,28790449,
1254,GSE99363,Nature genetics,28671686,
1255,notAvailable,Nature communications,28656979,
1256,GSE83882,eLife,28653622,
1257,notAvailable,Nature communications,28652613,
1258,notAvailable,Cell systems,28601559,
1259,GSE95702_GSE95701_GSE95411_GSE95409_GSE95408,Immunity,28514690,
1260,GSE79108,Nature,28514446,
1261,GSE95601,Cell stem cell,28506465,
1262,notAvailable,Cell stem cell,28506464,
1263,notAvailable,Nature methods,28504683,
1264,notAvailable,Neuron,28472654,
1265,GSE74390,Nature communications,28440315,
1266,GSE85917,Nature methods,28418000,
1267,GSE96827_GSE81884_GSE81848_GSE81750_GSE81749_GSE81748_GSE81747_GSE81412,Molecular cell,28416141,
1268,notAvailable,Nature cell biology,28414312,
1269,notAvailable,"Science (New York, N.Y.)",28408603,
1270,GSE94383,Cell systems,28396000,
1271,notAvailable,Immunity,28389069,
1272,GSE89303_GSE89301_GSE80732,Cell,28388409,
1273,GSE95133,Neuron,28384468,
1274,notAvailable,eLife,28371617,
1275,GSE79102,Nature methods,28346451,
1276,notAvailable,Cell systems,28334572,
1277,GSE105054,eLife,28296635,
1278,notAvailable,Nature communications,28290449,
1279,notAvailable,Nature communications,28287116,
1280,GSE90834_GSE90640,Cell,28283063,
1281,GSE84892,eLife,28226240,
1282,notAvailable,Science translational medicine,28202776,
1283,notAvailable,Nature methods,28135258,
1284,notAvailable,Nature methods,28114287,
1285,notAvailable,eLife,28098555,
1286,notAvailable,eLife,28094761,
1287,GSE87069,Cell stem cell,28094018,
1288,notAvailable,Cell stem cell,28041894,
1289,notAvailable,eLife,28035902,
1290,notAvailable,Cell stem cell,27989768,
1291,notAvailable,Nature communications,27982015,
1292,GSE83142,Cancer cell,27916615,
1293,notAvailable,"Science (New York, N.Y.)",27885004,
1294,notAvailable,Cell systems,27883891,
1295,notAvailable,Nature cell biology,27870830,
1296,notAvailable,Nature communications,27857135,
1297,notAvailable,Nature communications,27827359,
1298,notAvailable,Science translational medicine,27807282,
1299,notAvailable,Nature,27749818,
1300,GSE76140,Nature immunology,27695000,
1301,notAvailable,Nature communications,27779190,
1302,notAvailable,Neuron,27764670,
1303,notAvailable,"Science (New York, N.Y.)",27738012,
1304,notAvailable,Nature communications,27698375,
1305,GSE67602,Cell systems,27641957,
1306,notAvailable,Molecular cell,27635758,
1307,GSE86042_GSE86039_GSE86031_GSE86030_GSE86028_GSE85954_GSE85951_GSE85947,Cell,27610572,
1308,notAvailable,Nature neuroscience,27571192,
1309,notAvailable,Nature methods,27525975,
1310,GSE85066,Cell,27419872,
1311,notAvailable,Nature,27411635,
1312,notAvailable,Nature communications,27324848,
1313,GSE79935_GSE66582_GSE66581_GSE66390,Nature,27309802,
1314,GSE75330,"Science (New York, N.Y.)",27284195,
1315,notAvailable,Molecular cell,27259209,
1316,notAvailable,Molecular cell,27259197,
1317,notAvailable,Cell,27180907,
1318,notAvailable,Cell,27153492,
1319,notAvailable,Cell,27153491,
1320,notAvailable,Cell stem cell,27152436,
1321,GSE78527,Nature communications,27138336,
1322,notAvailable,Nature communications,27121084,
1323,notAvailable,Nature communications,27098003,
1324,GSE77067,Nature communications,27090946,
1325,GSE77029_GSE49241,Nature immunology,27043410,
1326,notAvailable,"Science (New York, N.Y.)",26912859,
1327,notAvailable,eLife,26896676,
1328,GSE68208,eLife,26824266,
1329,notAvailable,eLife,26821527,
1330,notAvailable,Nature communications,26790525,
1331,notAvailable,Nature,26789249,
1332,GSE76407,Nature immunology,26779601,
1333,GSE74535_GSE74534_GSE68642_GSE56879,Nature methods,26752769,
1334,notAvailable,Cell,26687356,
1335,notAvailable,Cell,26607793,
1336,GSE71858,Nature methods,26524239,
1337,GSE67980,"Science (New York, N.Y.)",26383955,
1338,notAvailable,Nature,26375009,
1339,GSE63683_GSE63682_GSE63681_GSE63575,Nature,26367796,
1340,notAvailable,Cell,26359980,
1341,notAvailable,Nature methods,26344043,
1342,notAvailable,Nature neuroscience,26322928,
1343,notAvailable,Nature methods,26322836,
1344,notAvailable,Nature methods,26317235,
1345,notAvailable,Nature methods,26317234,
1346,notAvailable,Nature,26308893,
1347,notAvailable,Nature methods,26301842,
1348,GSE64016,Nature methods,26301841,
1349,notAvailable,Nature genetics,26301495,
1350,GSE71485,Cell stem cell,26299571,
1351,notAvailable,Molecular cell,26295962,
1352,notAvailable,Science translational medicine,26290413,
1353,GSE62270,Nature,26287467,
1354,notAvailable,Molecular cell,26253029,
1355,notAvailable,Nature immunology,26237553,
1356,GSE70798,Nature immunology,26237550,
1357,GSE67833,Cell stem cell,26235341,
1358,notAvailable,Science translational medicine,26203083,
1359,notAvailable,Neuron,26182417,
1360,notAvailable,Neuron,26182411,
1361,notAvailable,Science translational medicine,26180099,
1362,notAvailable,Nature medicine,26168294,
1363,notAvailable,Cell,26165941,
1364,notAvailable,Nature communications,26158780,
1365,notAvailable,Nature communications,26151134,
1366,notAvailable,Nature communications,26151127,
1367,notAvailable,Nature methods,26147917,
1368,notAvailable,"Science (New York, N.Y.)",26138975,
1369,notAvailable,Nature,26131935,
1370,notAvailable,Nature communications,26104298,
1371,notAvailable,Nature methods,26098019,
1372,notAvailable,Cell,26095251,
1373,notAvailable,Cell,26091034,
1374,notAvailable,Neuron,26087161,
1375,GSE65360,Nature,26083756,
1376,notAvailable,Nature communications,26074426,
1377,GSE60783_GSE60782_GSE60781,Nature immunology,26054720,
1378,notAvailable,eLife,26051822,
1379,notAvailable,Cell stem cell,26046754,
1380,GSE63818,Cell,26046443,
1381,notAvailable,Cancer discovery,31662298,
1382,notAvailable,eLife,31657716,
1383,notAvailable,Nature communications,31653878,
1384,notAvailable,Nature communications,31653857,
1385,notAvailable,Nature communications,31653855,
1386,notAvailable,Nature communications,31653841,
1387,notAvailable,Nature communications,31653829,
1388,notAvailable,Nature communications,31649248,
1389,notAvailable,Cell systems,31647917,
1390,notAvailable,eLife,31647409,
1391,notAvailable,Nature,31645721,
1392,notAvailable,eLife,31644425,
1393,notAvailable,Nature communications,31641119,
1394,notAvailable,Cell systems,31629685,
1395,notAvailable,Nature communications,31628330,
1396,notAvailable,Cell,31626771,
1397,notAvailable,Cell,31626770,
1398,GSE126030,Nature communications,31624246,
1399,notAvailable,Nature,31619793,
1400,notAvailable,Immunity,31618654,
1401,notAvailable,Nature methods,31611692,
1402,notAvailable,Cell systems,31606371,
1403,notAvailable,Immunity,31606264,
1404,notAvailable,Nature immunology,31605099,
1405,notAvailable,Nature communications,31604953,
1406,notAvailable,Nature communications,31604922,
1407,notAvailable,Science immunology,31604845,
1408,notAvailable,Science immunology,31604843,
1409,notAvailable,Immunity,31604687,
1410,GSE127807_GSE115968_GSE107651,Nature communications,31601804,
1411,notAvailable,Nature,31597973,
1412,notAvailable,Nature,31597962,
1413,notAvailable,Science translational medicine,31597755,
1414,GSE136103,Nature,31597160,
1415,notAvailable,Nature communications,31594952,
1416,GSE132064,Nature communications,31594945,
1417,GSE131272,eLife,31592768,
1418,notAvailable,eLife,31591966,
1419,notAvailable,Nature medicine,31591603,
1420,notAvailable,Nature methods,31591579,
1421,notAvailable,Nature immunology,31591573,
1422,GSE125449,Cancer cell,31588021,
1423,GSE112438,Cell,31585086,
1424,notAvailable,Cell,31585077,
1425,GSE135500_GSE123028,Nature communications,31582743,
1426,notAvailable,Cancer discovery,31575563,
1427,notAvailable,Cell,31564455,
1428,notAvailable,Molecular cell,31563431,
1429,GSE129788,Nature neuroscience,31551601,
1430,notAvailable,Cell stem cell,31523028,
1431,notAvailable,Cell systems,31521605,
1432,notAvailable,Nature methods,31501550,
1433,GSE130711_GSE124391,Nature methods,31501549,
1434,notAvailable,Nature methods,31501546,
1435,notAvailable,Nature methods,31501545,
1436,notAvailable,Nature methods,31501544,
1437,notAvailable,Nature communications,31784515,Single cell census of human kidney organoids shows reproducibility and diminished off-target cells after transplantation
1438,notAvailable,Neuron,31784286,Single-Cell Profiles of Retinal Ganglion Cells Differing in Resilience to Injury Reveal Neuroprotective Genes
1439,notAvailable,Nature communications,31780669,Automated optimized parameters for T-distributed stochastic neighbor embedding improve visualization and analysis of large datasets
1440,notAvailable,Nature communications,31780648,The art of using t-SNE for single-cell transcriptomics
1441,notAvailable,Cell,31778651,Modeling the Evolution of Human Brain Development Using Organoids
1442,notAvailable,Science translational medicine,31776286,Overexpression of T-bet in HIV infection is associated with accumulation of B cells outside germinal centers and poor affinity maturation
1443,notAvailable,Nature communications,31772172,On-target restoration of a split T cell-engaging antibody for precision immunotherapy
1444,notAvailable,Nature communications,31772163,Invariant patterns of clonal succession determine specific clinical features of myelodysplastic syndromes
1445,notAvailable,Nature genetics,31768071,Stalled developmental programs at the root of pediatric brain tumors
1446,notAvailable,Nature methods,31768062,"Isolating live cells after high-throughput, long-term, time-lapse microscopy"
1447,notAvailable,Nature neuroscience,31768052,A single-cell atlas of entorhinal cortex from individuals with Alzheimer's disease reveals cell-type-specific gene expression regulation
1448,notAvailable,Nature cell biology,31768046,A Tppp
1449,notAvailable,Nature communications,31757970,Poly(A) inclusive RNA isoform sequencing (PAIso-seq) reveals wide-spread non-adenosine residues within RNA poly(A) tails
1450,notAvailable,Science immunology,31757835,A divergent transcriptional landscape underpins the development and functional branching of MAIT cells
1451,notAvailable,"Science (New York, N.Y.)",31753999,Host resistance factor SLC11A1 restricts
1452,notAvailable,"Science (New York, N.Y.)",31753992,Three-dimensional genome structure of a single cell
1453,notAvailable,Nature,31748748,Gene expression cartography
1454,notAvailable,Nature,31748747,Genetic predisposition to mosaic Y chromosome loss in blood
1455,notAvailable,Immunity,31747579,Building a Human Thymus: A Pointillist View
1456,notAvailable,eLife,31746739,Single cell transcriptome atlas of the
1457,notAvailable,Nature immunology,31745340,TCR sequencing paired with massively parallel 3' RNA-seq reveals clonotypic T cell signatures
1458,notAvailable,Nature communications,31745093,Embryonic progenitor pools generate diversity in fine-scale excitatory cortical subnetworks
1459,notAvailable,Nature methods,31740822,Revealing dynamics of gene expression variability in cell state space
1460,notAvailable,Nature methods,31740819,"Fast, sensitive and accurate integration of single-cell data with Harmony"
1461,notAvailable,Nature methods,31740817,Time-resolved imaging-based CRISPRi screening
1462,notAvailable,Nature methods,31740815,Probabilistic cell typing enables fine mapping of closely related cell types in situ
1463,GSE135437,Nature neuroscience,31740814,Mapping microglia states in the human brain through the integration of high-dimensional techniques
1464,notAvailable,Cell,31730858,Clonal Decomposition and DNA Replication States Defined by Scaled Single-Cell Genome Sequencing
1465,notAvailable,Cell,31730857,B Cells and T Follicular Helper Cells Mediate Response to Checkpoint Inhibitors in High Mutation Burden Mouse Models of Breast Cancer
1466,GSE121380,Cell,31730855,Mucosal Profiling of Pediatric-Onset Colitis and IBD Reveals Common Pathogenics and Therapeutic Pathways
1467,GSE138651,Cell,31730854,Genetic Identification of Vagal Sensory Neurons That Control Feeding
1468,notAvailable,Nature communications,31729374,A Bayesian mixture model for the analysis of allelic expression in single cells
1469,GSE117708_GSE117707_GSE117706,Nature communications,31729367,Sertoli cell-only phenotype and scRNA-seq define PRAMEF12 as a factor essential for spermatogenesis in mice
1470,notAvailable,eLife,31714209,DNA damage checkpoint activation impairs chromatin homeostasis and promotes mitotic catastrophe during aging
1471,notAvailable,eLife,31713513,Interspecies interactions induce exploratory motility in
1472,notAvailable,eLife,31710287,Single-cell transcriptomic evidence for dense intracortical neuropeptide networks
1473,notAvailable,Cancer cell,31708437,Clonally Expanded T Cells Reveal Immunogenicity of Rhabdoid Tumors
1474,notAvailable,Nature communications,31704937,Active DNA unwinding and transport by a membrane-adapted helicase nanopore
1475,notAvailable,Cancer discovery,31699795,Single-cell RNA sequencing reveals stromal evolution into LRRC15+ myofibroblasts as a determinant of patient response to cancer immunotherapy
1476,GSE126139,eLife,31687928,Modular transcriptional programs separately define axon and dendrite connectivity
1477,notAvailable,Nature cell biology,31685990,Differential scaling between G1 protein production and cell size dynamics promotes commitment to the cell division cycle in budding yeast
1478,notAvailable,eLife,31682227,Single-cell proteomics reveals changes in expression during hair-cell development
1479,notAvailable,Cell systems,31677971,Bayesian Inference of Allelic Inclusion Rates in the Human T Cell Receptor Repertoire
1480,notAvailable,Cell,31675497,Stress-Induced Metabolic Disorder in Peripheral CD
1481,GSE140228,Cell,31675496,Landscape and Dynamics of Single Immune Cells in Hepatocellular Carcinoma
1482,GSE130114,"Science (New York, N.Y.)",31672918,In vitro culture of cynomolgus monkey embryos beyond early gastrulation
1483,notAvailable,"Science (New York, N.Y.)",31672917,Dissecting primate early post-implantation development using long-term in vitro embryo culture
1484,GSE137710_GSE130201,Cell,31668803,Transcriptional Basis of Mouse and Human Dendritic Cell Heterogeneity
1485,notAvailable,Nature methods,31611692,Multiplexed and single cell tracing of lipid metabolism
1486,notAvailable,Immunity,31606264,TCF-1-Centered Transcriptional Network Drives an Effector versus Exhausted CD8T Cell-Fate Decision
1487,notAvailable,Nature immunology,31605099,Author Correction: Tubular cell and keratinocyte single-cell transcriptomics applied to lupus nephritis reveal type I IFN and fibrosis relevant pathways
1488,notAvailable,Immunity,31604687,Single-Cell RNA Sequencing Resolves Spatiotemporal Development of Pre-thymic Lymphoid Progenitors and Thymus Organogenesis in Human Embryos
1489,notAvailable,Nature methods,31591579,Exploring single-cell data with deep multitasking neural networks
1490,notAvailable,Nature immunology,31591573,Locally instructed CXCR
1491,GSE133856_GSE133855_GSE133854,Cell stem cell,31588047,Single-Cell Transcriptome Analysis of Uniparental Embryos Reveals Parent-of-Origin Effects on Human Preimplantation Development
1492,notAvailable,Nature neuroscience,31570865,Accurate quantification of astrocyte and neurotransmitter fluorescence dynamics for single-cell and population-level physiology
1493,notAvailable,Molecular cell,31543423,Transient Hysteresis in CDK4/6 Activity Underlies Passage of the Restriction Point in G1
1494,notAvailable,Molecular cell,31495564,High-Throughput Single-Cell Sequencing with Linear Amplification
1495,GSE135465_GSE087064,Neuron,31493975,Nucleome Dynamics during Retinal Development
